timestamp_s,teamA_hull_area,teamA_avg_nearest_opp,teamB_hull_area,teamB_avg_nearest_opp
910.0,204264.0,103.92349851551816,174372.0,113.61890598409558
915.0,283652.5,91.31337773952085,252859.0,103.66547594746069
925.0,273375.0,132.50317705951295,303266.5,150.53664583539432
930.0,396433.5,77.62447070661372,459159.5,136.18384561843897
955.0,430592.0,208.7671532735499,398028.5,165.61276009010345
975.0,502961.0,78.88246806525258,330927.0,104.09891377106798
980.0,330544.5,76.04286568787623,377680.0,273.26623298096
995.0,153168.0,118.03208662786841,177235.0,109.16034716004428
1000.0,194494.5,96.04574059939743,531166.5,163.62462471542156
1025.0,574571.5,162.51975851887687,189626.0,102.73264691177737
1030.0,446350.5,254.31909603012792,314339.5,203.1026187104533
1035.0,159796.5,93.6747568372623,194234.5,172.75749759956406
1040.0,333990.5,113.61021846866805,175074.0,88.66923819227299
1055.0,203396.0,60.49536011015132,240111.5,63.82075160399195
1070.0,420274.5,142.56881716249194,182035.0,98.07978876535174
1090.0,346240.5,127.74370147256866,342670.0,119.2404646298181
1100.0,443862.0,84.3637107236099,524491.5,107.5078661919671
1105.0,411155.0,148.67386385091947,267803.5,145.02385852534718
1110.0,323097.0,121.21938435535868,300995.0,185.36267375488117
1125.0,265204.5,115.66911214083235,297734.0,157.53291176101112
1130.0,441290.5,117.48318327984354,350999.5,106.7331802916579
1135.0,641107.0,106.30700550172355,399040.0,122.25670650093254
1140.0,355719.0,94.06503884219707,260791.5,84.25307491459134
1150.0,427560.5,89.65190107751967,431869.0,159.2335513014713
1155.0,211477.5,95.89195718264192,173503.0,84.73303486533906
1160.0,239461.0,184.068869962558,124871.5,118.53899522394933
1165.0,275300.0,61.982614002986644,462381.0,144.8285281956494
1170.0,149214.0,145.98257046181314,339709.5,214.01169035567008
1175.0,401681.0,150.1737060619582,321018.0,176.5920757069033
1180.0,215712.0,164.59631468633964,165412.5,222.10722409442332
1195.0,177617.5,156.2145359950472,107396.5,84.28479456192652
